,WinningParty,RunnerUpParty,Margin Votes,State,Constituency,Category,Alliance,Region
0,Bharatiya Janata Party,Indian National Congress,24396,andaman and nicobar islands,andaman and nicobar islands,GEN,NDA,UT
1,Telugu Desam,Yuvajana Sramika Rythu Congress Party,342196,andhra pradesh  ,amalapuram,SC,NDA,South
2,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,296530,andhra pradesh  ,anakapalli,GEN,NDA,South
3,Telugu Desam,Yuvajana Sramika Rythu Congress Party,188555,andhra pradesh  ,anantapur,GEN,NDA,South
4,Yuvajana Sramika Rythu Congress Party,Bharatiya Janata Party,50580,andhra pradesh  ,araku,ST,INDI,South
5,Telugu Desam,Yuvajana Sramika Rythu Congress Party,208031,andhra pradesh  ,bapatla,SC,NDA,South
6,Telugu Desam,Yuvajana Sramika Rythu Congress Party,220479,andhra pradesh  ,chittoor,SC,NDA,South
7,Telugu Desam,Yuvajana Sramika Rythu Congress Party,181857,andhra pradesh  ,eluru,GEN,NDA,South
8,Telugu Desam,Yuvajana Sramika Rythu Congress Party,344695,andhra pradesh  ,guntur,GEN,NDA,South
9,Telugu Desam,Yuvajana Sramika Rythu Congress Party,132427,andhra pradesh  ,hindupur,GEN,NDA,South
10,Yuvajana Sramika Rythu Congress Party,Telugu Desam,62695,andhra pradesh  ,kadapa,GEN,INDI,South
11,Janasena Party,Yuvajana Sramika Rythu Congress Party,229491,andhra pradesh  ,kakinada,GEN,NDA,South
12,Telugu Desam,Yuvajana Sramika Rythu Congress Party,111298,andhra pradesh  ,kurnool,GEN,NDA,South
13,Janasena Party,Yuvajana Sramika Rythu Congress Party,223179,andhra pradesh  ,machilipatnam,GEN,NDA,South
14,Telugu Desam,Yuvajana Sramika Rythu Congress Party,111975,andhra pradesh  ,nandyal,GEN,NDA,South
15,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,276802,andhra pradesh  ,narasapuram,GEN,NDA,South
16,Telugu Desam,Yuvajana Sramika Rythu Congress Party,159729,andhra pradesh  ,narasaraopet,GEN,NDA,South
17,Telugu Desam,Yuvajana Sramika Rythu Congress Party,245902,andhra pradesh  ,nellore,GEN,NDA,South
18,Telugu Desam,Yuvajana Sramika Rythu Congress Party,50199,andhra pradesh  ,ongole,GEN,NDA,South
19,Bharatiya Janata Party,Yuvajana Sramika Rythu Congress Party,239139,andhra pradesh  ,rajahmundry,GEN,NDA,South
20,Yuvajana Sramika Rythu Congress Party,Bharatiya Janata Party,76071,andhra pradesh  ,rajampet,GEN,INDI,South
21,Telugu Desam,Yuvajana Sramika Rythu Congress Party,327901,andhra pradesh  ,srikakulam,GEN,NDA,South
22,Yuvajana Sramika Rythu Congress Party,Bharatiya Janata Party,14569,andhra pradesh  ,tirupati,SC,INDI,South
23,Telugu Desam,Yuvajana Sramika Rythu Congress Party,282085,andhra pradesh  ,vijayawada,GEN,NDA,South
24,Telugu Desam,Yuvajana Sramika Rythu Congress Party,504247,andhra pradesh  ,visakhapatnam,GEN,NDA,South
25,Telugu Desam,Yuvajana Sramika Rythu Congress Party,249351,andhra pradesh  ,vizianagaram,GEN,NDA,South
26,Bharatiya Janata Party,Indian National Congress,30421,arunachal pradesh,arunachal east,GEN,NDA,East
27,Bharatiya Janata Party,Indian National Congress,100738,arunachal pradesh,arunachal west,GEN,NDA,East
28,Asom Gana Parishad,Indian National Congress,222351,assam ,barpeta,GEN,INDI,East
29,Bharatiya Janata Party,Indian National Congress,329012,assam ,darrang–udalguri,GEN,NDA,East
30,Indian National Congress,All India United Democratic Front,1012476,assam ,dhubri,GEN,INDI,East
31,Bharatiya Janata Party,Assam Jatiya Parishad,279321,assam ,dibrugarh,GEN,NDA,East
32,Bharatiya Janata Party,Independent,147603,assam ,diphu,ST,NDA,East
33,Bharatiya Janata Party,Indian National Congress,251090,assam ,guwahati,GEN,NDA,East
34,Indian National Congress,Bharatiya Janata Party,144393,assam ,jorhat,GEN,INDI,East
35,Bharatiya Janata Party,Indian National Congress,18360,assam ,karimganj,GEN,NDA,East
36,Bharatiya Janata Party,Indian National Congress,248947,assam ,kaziranga,GEN,NDA,East
37,"United People’s Party, Liberal",Bodoland Peoples Front,51583,assam ,kokrajhar,ST,NDA,East
38,Bharatiya Janata Party,Indian National Congress,201257,assam ,lakhimpur,GEN,NDA,East
39,Indian National Congress,Bharatiya Janata Party,212231,assam ,nagaon,GEN,INDI,East
40,Bharatiya Janata Party,Indian National Congress,264311,assam ,silchar,SC,NDA,East
41,Bharatiya Janata Party,Indian National Congress,361408,assam ,sonitpur,GEN,NDA,East
42,Bharatiya Janata Party,Rashtriya Janata Dal,20094,bihar ,araria,GEN,NDA,North
43,Communist Party of India  (Marxist-Leninist)  (Liberation),Bharatiya Janata Party,59808,bihar ,arrah,GEN,INDI,North
44,Rashtriya Janata Dal,Bharatiya Janata Party,79111,bihar ,aurangabad,GEN,INDI,North
45,Janata Dal  (United),Rashtriya Janata Dal,103844,bihar ,banka,GEN,NDA,North
46,Bharatiya Janata Party,Communist Party of India,81480,bihar ,begusarai,GEN,NDA,North
47,Janata Dal  (United),Indian National Congress,104868,bihar ,bhagalpur,GEN,NDA,North
48,Rashtriya Janata Dal,Bharatiya Janata Party,30091,bihar ,buxar,GEN,INDI,North
49,Bharatiya Janata Party,Rashtriya Janata Dal,178156,bihar ,darbhanga,GEN,NDA,North
50,Hindustani Awam Morcha (Secular),Rashtriya Janata Dal,101812,bihar ,gaya,SC,INDI,North
51,Janata Dal  (United),Vikassheel Insaan Party,127180,bihar ,gopalganj,SC,NDA,North
52,Lok Janshakti Party(Ram Vilas),Rashtriya Janata Dal,170105,bihar ,hajipur,SC,NDA,North
53,Rashtriya Janata Dal,Janata Dal  (United),142591,bihar ,jahanabad,GEN,INDI,North
54,Lok Janshakti Party(Ram Vilas),Rashtriya Janata Dal,112482,bihar ,jamui,SC,NDA,North
55,Janata Dal  (United),Vikassheel Insaan Party,184169,bihar ,jhanjharpur,GEN,NDA,North
56,Communist Party of India  (Marxist-Leninist)  (Liberation),Independent,105858,bihar ,karakat,GEN,INDI,North
57,Indian National Congress,Janata Dal  (United),49863,bihar ,katihar,GEN,INDI,North
58,Lok Janshakti Party(Ram Vilas),Communist Party of India  (Marxist),161131,bihar ,khagaria,GEN,NDA,North
59,Indian National Congress,Janata Dal  (United),59692,bihar ,kishanganj,GEN,INDI,North
60,Janata Dal  (United),Rashtriya Janata Dal,174534,bihar ,madhepura,GEN,NDA,North
61,Bharatiya Janata Party,Rashtriya Janata Dal,151945,bihar ,madhubani,GEN,NDA,North
62,Bharatiya Janata Party,Indian National Congress,102651,bihar ,maharajganj,GEN,NDA,North
